%	-4.3333333333	0.33	
/	-2.25	0.25	-9
+	0	-2.25	-2.25
%	-2.25	0.25	
/	2.25	0.25	9
-	2.25	0.25	2
*	2.25	0.25	0.5625
+	2.25	0.25	2.5
+	2.25	0	2.25
+	0	0	0
+	0	9	9
-	9	6	3
+	3	7	10
/	10	5	2
%	2	1	0
/	12	3	4
+	0	78	78
-	78	8	70
+	70	3	73
/	73	3	24.333333333333
%	24	8	0
+	12	1	13
-	12	1	11
*	5	5	25
+	2	2	5
-	10	0	10
+	2	3	5
-	2	3	-1
%2B	0	549	54
%252B	0	549	54
%2B	0	549	54
%25252B	0	549124	54
%2525252525252525252B	0	549124111	54
+	0	54	54
%252525252525252525252B	0	549124111	54
+	0	29448	29448
+	0	30154752	30154752
/	30154752	128	235584
/	235584	29448	8
+	0	128	128
*	128	29448	3769344
-	3769344	3769344	0
+	0	1000	1000
*	1000	1000	1000000
*	1000000	128	128000000
/	128000000	1024	125000
/	125000	1024	122.0703125
*	122.0703125	8	976.5625
+	0	483267069	483267069
/	483267069	1024	471940.49707031
/	471940.49707031	1024	460.87939167022
